id;program_key;objective_key;title;description;type;priority;weight;sponsor;accountable;responsible;partners;sign_off;start_date;due_date;status;progress;evidence_minimum
RH-DES-11;desenvolve;O4;Nine Box: execução até Jul/2026;Rodar sessões de calibragem e concluir Nine Box para 100% áreas elegíveis.;ROTINA;P1;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-06-01;2026-07-31;PENDENTE;0;Mapas por área + decisões registradas
RH-DES-12;desenvolve;O1;Onboarding 45/90: desenho + piloto;Desenhar trilhas 45/90 e rodar piloto em 2 funções críticas.;IMPLANTACAO;P1;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Operação/CS | Produto/Dados;Direção;2026-03-01;2026-05-31;PENDENTE;0;Checklists por função + avaliação 45/90 + buddy
RH-DES-13;desenvolve;O1;Onboarding 45/90: escala Q3;Escalar onboarding 45/90 e medir completude.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-06-01;2026-09-30;PENDENTE;0;% completude + avaliações + gaps
RH-DES-14;desenvolve;O4;PDIs: críticos primeiro + revisão trimestral;Criar PDIs para 100% críticos até Jun e governar revisões trimestrais.;ROTINA;P1;PESADA;Direção Executiva;Renata Silvestre;Líderes | RH;—;RH;2026-03-15;2026-12-15;PENDENTE;0;PDIs ativos + % revisões no prazo + evidências
RH-REC-01;reconhece;O3;Guia de critérios do reconhecimento;Criar guia de critérios, exemplos e revisão semestral.;IMPLANTACAO;P1;LEVE;RH;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;RH;2026-02-10;2026-03-10;PENDENTE;0;Guia publicado + versionamento + uso no ciclo
RH-REC-02;reconhece;O3;Reconhecer é AERO: setup + ciclo 1;Definir rito mensal, critérios e executar 1º ciclo.;IMPLANTACAO;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-03-01;2026-03-31;PENDENTE;0;Registro do ciclo + comunicado
RH-REC-03;reconhece;O3;Reconhecer é AERO: ciclos Q2;Executar ciclos mensais do Q2 e manter histórico.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-04-01;2026-06-30;PENDENTE;0;Registros mensais Q2 + histórico
RH-REC-04;reconhece;O3;Reconhecer é AERO: ciclos Q3;Executar ciclos mensais do Q3.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-07-01;2026-09-30;PENDENTE;0;Registros mensais Q3 + histórico
RH-REC-05;reconhece;O3;Reconhecer é AERO: ciclos Q4;Executar ciclos mensais do Q4 e consolidar aprendizados.;ROTINA;P2;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-10-01;2026-12-15;PENDENTE;0;Registros mensais Q4 + histórico
RH-REC-06;reconhece;O3;Líder como agente: aderência ≥90%;Garantir participação mínima mensal de líderes e medir aderência.;ROTINA;P1;LEVE;Direção Executiva;Líderes (accountable);Líderes | RH;—;Direção;2026-03-15;2026-12-15;PENDENTE;0;% líderes participantes mensalmente + registro simples
RH-REC-07;reconhece;O3;Pulso trimestral de reconhecimento (4 ciclos);Aplicar pulso trimestral e gerar plano por ciclo.;ROTINA;P2;LEVE;RH;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;RH;2026-03-31;2026-12-15;PENDENTE;0;Resultados do pulso + plano por ciclo + execução
RH-REC-08;reconhece;O1;Correlação reconhecimento x turnover críticos;Analisar trimestralmente correlação e propor ações corretivas.;ROTINA;P2;LEVE;RH;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Produto/Dados;RH;2026-04-01;2026-12-31;PENDENTE;0;Relatório trimestral + decisões no MBR
RH-INO-01;inova;O1;CRIT-01 — Posições críticas + risco de saída;Formalizar lista de críticos e critérios de risco; revisão mensal no MBR.;IMPLANTACAO;P0;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes | Operação/CS;Direção;2026-02-06;2026-03-15;PENDENTE;0;CRIT-01 publicado + plano de retenção por crítico
RH-INO-02;inova;O1;LEAD-01 — Líderes elegíveis (v1);Formalizar lista de líderes elegíveis e níveis para escola/rituais.;IMPLANTACAO;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;—;Direção;2026-02-06;2026-02-28;PENDENTE;0;LEAD-01 publicado + baseline elegíveis
RH-INO-03;inova;O5;Dicionário de KPIs (fonte única);Definir KPIs oficiais com fórmula, fonte, dono, cadência e gatilho.;IMPLANTACAO;P0;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Produto/Dados;Direção;2026-02-15;2026-03-31;PENDENTE;0;Documento versionado + validação no MBR
RH-INO-04;inova;O5;Painel RH 1.0 (SLA mensal);Implantar painel mínimo e rotina de snapshot mensal.;IMPLANTACAO;P1;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Produto/Dados;Direção;2026-03-01;2026-05-31;PENDENTE;0;Link painel + log atualização + snapshot mensal
RH-INO-05;inova;O5;MBR RH mensal (ata + backlog);Instalar MBR mensal com ata, backlog e % execução no prazo.;ROTINA;P0;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Líderes;Direção;2026-03-01;2026-12-15;PENDENTE;0;12 atas + backlog + % execução no prazo
RH-INO-06;inova;O5;GPTW: Plano anual v1 + owners por gap;Publicar plano anual GPTW com gaps priorizados, owners e evidências.;IMPLANTACAO;P0;PESADA;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing | Líderes;Direção;2026-03-01;2026-03-31;PENDENTE;0;Plano + owners + checklist readiness v1
RH-INO-07;inova;O5;GPTW readiness trimestral (4 ciclos);Executar checklists trimestrais e anexar evidências por gap.;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Marketing | Líderes;Direção;2026-04-01;2026-12-15;PENDENTE;0;4 checklists + evidências por gap + evolução
RH-INO-08;inova;O5;Fechamento mensal RH (MD+PDF) como evidência;Gerar fechamento mensal e salvar como evidência auditável (MD + PDF).;ROTINA;P1;LEVE;Direção Executiva;Renata Silvestre;Renata Silvestre | Fernanda Xavier;Produto/Dados;Direção;2026-03-31;2026-12-31;PENDENTE;0;Arquivo MD + PDF mensal + link registrado no pack
